incident_id,probability,is_real_incident,last_order_end,after_order_start,gap_minutes,total_after_distance_km,max_jump_distance_km,mean_speed_kmh,median_speed_kmh,max_speed_kmh,bearing_changes,static_segments_ratio,radius_from_start_m,coordinate_stability_m,return_count,after_order_start_hour,after_track_duration_minutes,bearing_changes_ratio,full_stop_count,linearity
25744,70,0,0001-01-01T00:00:00,2025-03-10T01:12:28.299000,1064619432.47165,1.124,0.135,0.08,0.04,5.09,147,0.992,355.6,68.09,482,1,1087.73,0.248,561,0.316
25743,0,0,0001-01-01T00:00:00,2025-03-10T18:12:55.712000,1064620452.9285333,0.022,0.002,0.46,0.02,16.04,13,0.973,2.55,0.91,36,18,67.21,0.361,34,0.108
25741,70,0,0001-01-01T00:00:00,2025-03-10T16:36:27.604000,1064620356.4600666,2.635,0.571,37.35,0.18,2999.62,11,0.776,807.81,227.19,46,16,162.25,0.131,65,0.03
25740,70,0,0001-01-01T00:00:00,2025-03-10T12:00:00.595000,1064620080.0099167,5.898,0.49,0.9,0.26,14.36,33,0.872,435.53,131.13,141,12,437.85,0.169,171,0.013
25739,0,0,0001-01-01T00:00:00,2025-03-10T19:06:51.672000,1064620506.8612,0.252,0.237,74.77,0.16,596.49,4,0.875,239.35,74.19,0,19,8.06,0.571,4,0.951
25738,70,0,0001-01-01T00:00:00,2025-03-10T18:58:01.695000,1064620498.02825,4.223,1.375,10.62,1.9,47.37,2,0.5,3957.9,1511.35,2,18,16.86,0.154,3,0.937
25737,0,0,0001-01-01T00:00:00,2025-03-10T19:05:33.818000,1064620505.5636333,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,4,19,7.71,0.0,4,0
25735,0,0,0001-01-01T00:00:00,2025-03-10T19:05:54.051000,1064620505.90085,0.002,0.001,3.21,0.0,31.78,2,0.9,0.74,0.29,9,19,4.93,0.222,3,0.148
25734,0,0,0001-01-01T00:00:00,2025-03-10T18:25:58.365000,1064620465.97275,111.936,25.774,166.89,127.03,776.0,2,0.25,25773.86,14693.68,0,18,42.91,0.105,5,0.008
25733,70,1,0001-01-01T00:00:00,2025-03-10T16:36:27.604000,1064620356.4600666,1.942,0.271,39.42,0.13,2999.62,11,0.787,807.81,209.4,44,16,152.24,0.139,62,0.394
25729,70,0,0001-01-01T00:00:00,2025-03-10T10:33:13.181000,1064619993.2196833,9.505,2.825,1.2,0.17,85.09,64,0.856,2899.14,374.96,3,10,512.82,0.272,202,0.026
25728,0,0,0001-01-01T00:00:00,2025-03-09T17:18:40.463000,1064618958.6743833,975.175,31.513,33.11,0.0,937.85,45,0.804,23099.66,5881.13,644,17,1545.72,0.049,622,0.001
